===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|1-й Плотничный переулок, 46|55.163693, 61.476269|1|411
|1-й Плотничный переулок, 46Б|55.163497, 61.474967|1|412
|1-й Плотничный переулок, 47|55.163487, 61.475317|1|413
|1-й Плотничный переулок, 48|55.163765, 61.475865|1|414
|1-й Плотничный переулок, 49А|55.16397, 61.475344|1|415
|1-й Плотничный переулок, 49Б|55.164125, 61.475012|1|416
|1-й Плотничный переулок, 49В|55.163775, 61.474796|1|417
|1-й Плотничный переулок, 50|55.164027, 61.476162|1|418
|1-й Плотничный переулок, 52|55.163955, 61.476799|1|419
|1-й Плотничный переулок, 57|55.164243, 61.476521|1|420
|1-й Плотничный переулок, 58Б|55.164299, 61.475506|1|421
|1-й Прокатный переулок, 2|55.243192, 61.390175|1|422
|1-й Прокатный переулок, 4|55.243757, 61.390687|1|423
|1-й Ржевский переулок, 12|55.187651, 61.473485|1|424
|1-й Ржевский переулок, 14|55.187435, 61.473341|1|425
|1-й Ржевский переулок, 16|55.187301, 61.473233|1|426
|1-й Ржевский переулок, 18|55.187121, 61.472999|1|427
|1-й Ржевский переулок, 8|55.188159, 61.473889|1|428
|1-й Рыбокоптильный переулок, 10|55.169719, 61.481354|1|429
|1-й Свинцовый переулок, 2|55.195133, 61.368867|1|430
|1-й Свинцовый переулок, 4|55.195118, 61.368382|1|431
|1-й Свинцовый переулок, 6|55.195113, 61.367888|1|432
|1-й Северо-Крымский переулок, 1|55.180341, 61.356156|1|433
|1-й Северо-Крымский переулок, 10|55.179673, 61.355787|1|434
|1-й Северо-Крымский переулок, 11|55.179102, 61.356192|1|435
|1-й Северо-Крымский переулок, 12|55.179483, 61.355805|1|436
|1-й Северо-Крымский переулок, 14|55.179313, 61.355724|1|437
|1-й Северо-Крымский переулок, 16|55.179123, 61.355814|1|438
|1-й Северо-Крымский переулок, 2|55.180382, 61.355769|1|439
|1-й Северо-Крымский переулок, 3|55.180115, 61.356156|1|440
|1-й Северо-Крымский переулок, 4|55.180182, 61.355733|1|441
|1-й Северо-Крымский переулок, 5|55.17976, 61.356165|1|442
|1-й Северо-Крымский переулок, 6|55.179987, 61.355787|1|443
|1-й Северо-Крымский переулок, 7|55.179473, 61.356165|1|444
|1-й Северо-Крымский переулок, 8|55.179812, 61.355787|1|445
|1-й Северо-Крымский переулок, 9|55.179313, 61.356183|1|446
|1-й Сельский переулок, 4|55.126884, 61.521455|1|447
|1-й Сельский переулок, 6|55.126647, 61.521464|1|448
|1-й Сельский переулок, 8|55.126514, 61.521455|1|449
|1-й Синеглазовский переулок, 1|55.121865, 61.422317|1|450
|1-й Синеглазовский переулок, 10|55.120789, 61.421849|1|451
|1-й Синеглазовский переулок, 11|55.120841, 61.42246|1|452
|1-й Синеглазовский переулок, 12|55.120573, 61.421894|1|453
|1-й Синеглазовский переулок, 13|55.120624, 61.422505|1|454
|1-й Синеглазовский переулок, 14|55.120403, 61.421993|1|455
|1-й Синеглазовский переулок, 15|55.120424, 61.42246|1|456
|1-й Синеглазовский переулок, 16|55.120161, 61.421975|1|457
|1-й Синеглазовский переулок, 17|55.120218, 61.422487|1|458
|1-й Синеглазовский переулок, 18|55.119929, 61.421984|1|459
|1-й Синеглазовский переулок, 2|55.121819, 61.42184|1|460
|1-й Синеглазовский переулок, 21|55.119924, 61.422757|1|461
|1-й Синеглазовский переулок, 23|55.11979, 61.422981|1|462
|1-й Синеглазовский переулок, 3|55.121654, 61.422397|1|463
|1-й Синеглазовский переулок, 4|55.121572, 61.421796|1|464
|1-й Синеглазовский переулок, 5|55.121484, 61.422352|1|465
|1-й Синеглазовский переулок, 6|55.121515, 61.421804|1|466
|1-й Синеглазовский переулок, 7|55.121268, 61.422361|1|467
|1-й Синеглазовский переулок, 8|55.121057, 61.421903|1|468
|1-й Синеглазовский переулок, 9|55.121052, 61.422388|1|469
|1-й Томский переулок, 10|55.190909, 61.471544|1|470
|1-й Томский переулок, 12|55.191007, 61.471275|1|471
|1-й Томский переулок, 2|55.190565, 61.472865|1|472
|1-й Томский переулок, 3|55.190416, 61.472407|1|473
|1-й Томский переулок, 3/2|55.190441, 61.472326|1|474
|1-й Томский переулок, 4|55.190693, 61.472443|1|475
|1-й Томский переулок, 5|55.190529, 61.472038|1|476
|1-й Томский переулок, 6|55.190781, 61.472074|1|477
|1-й Томский переулок, 8|55.190837, 61.471859|1|478
|1-й Фабрично-Заводской переулок, 10|55.176069, 61.480779|1|479
|1-й Фабрично-Заводской переулок, 11|55.175879, 61.481129|1|480
|1-й Фабрично-Заводской переулок, 12|55.175884, 61.480725|1|481
|1-й Фабрично-Заводской переулок, 7|55.176218, 61.481192|1|482
|1-й Фабрично-Заводской переулок, 8|55.176285, 61.480806|1|483
|1-й Фабрично-Заводской переулок, 9|55.176038, 61.481192|1|484
|1-й Ферросплавный переулок, 2|55.191058, 61.443445|1|485
|1-й Ферросплавный переулок, 4|55.190868, 61.443526|1|486
|1-й Фестивальный переулок, 10|55.11199, 61.416208|1|487
|1-й Фестивальный переулок, 11|55.112, 61.415678|1|488
|1-й Фестивальный переулок, 12|55.111815, 61.416028|1|489
|1-й Фестивальный переулок, 2|55.112659, 61.416981|1|490
|1-й Фестивальный переулок, 3|55.112628, 61.416415|1|491
|1-й Фестивальный переулок, 4|55.112489, 61.416792|1|492
|1-й Фестивальный переулок, 5|55.112463, 61.41619|1|493
|1-й Фестивальный переулок, 6|55.112324, 61.416603|1|494
|1-й Фестивальный переулок, 7|55.112304, 61.416037|1|495
|1-й Фестивальный переулок, 8|55.112154, 61.416397|1|496
|1-й Фестивальный переулок, 9|55.112123, 61.415795|1|497
|1-й Чукотский переулок, 1|55.241139, 61.401386|1|498
|1-й Чукотский переулок, 10|55.240467, 61.400299|1|499
|1-й Чукотский переулок, 11|55.240225, 61.400523|1|500
|1-й Чукотский переулок, 12|55.240318, 61.400146|1|501
|1-й Чукотский переулок, 13|55.239984, 61.40029|1|502
|1-й Чукотский переулок, 14|55.240102, 61.39994|1|503
|1-й Чукотский переулок, 2|55.24138, 61.400973|1|504
|1-й Чукотский переулок, 3|55.240954, 61.401179|1|505
|1-й Чукотский переулок, 4|55.241057, 61.400784|1|506
|1-й Чукотский переулок, 5|55.24078, 61.401017|1|507
|1-й Чукотский переулок, 6|55.240852, 61.400631|1|508
|1-й Чукотский переулок, 7|55.240585, 61.400847|1|509
|1-й Чукотский переулок, 8|55.240672, 61.400478|1|510
|1-й Чукотский переулок, 9|55.240405, 61.400685|1|511
|1-й Шагольский переулок, 1|55.234276, 61.301125|1|512
|1-й Шагольский переулок, 3|55.234019, 61.301107|1|513
|1-й Шагольский переулок, 5|55.23384, 61.30117|1|514
|1-й Шагольский переулок, 7|55.233675, 61.301188|1|515
|1-й Шагольский переулок, 9|55.23346, 61.301152|1|516
|1-й Шатурский переулок, 1|55.191325, 61.479683|1|517
|1-й Шатурский переулок, 10|55.19261, 61.479548|1|518
|1-й Шатурский переулок, 11|55.19278, 61.478964|1|519
|1-й Шатурский переулок, 12|55.192841, 61.479404|1|520
|1-й Шатурский переулок, 13А|55.193674, 61.478335|1|521
|1-й Шатурский переулок, 14|55.19317, 61.479117|1|522
|1-й Шатурский переулок, 15|55.19407, 61.478174|1|523
|1-й Шатурский переулок, 16|55.193407, 61.478946|1|524
|1-й Шатурский переулок, 17|55.19427, 61.478048|1|525
|1-й Шатурский переулок, 18|55.1937, 61.478821|1|526
|1-й Шатурский переулок, 2|55.191449, 61.480312|1|527
|1-й Шатурский переулок, 20|55.193921, 61.478686|1|528
|1-й Шатурский переулок, 21|55.194681, 61.477338|1|529
|1-й Шатурский переулок, 22|55.194177, 61.478515|1|530
|1-й Шатурский переулок, 23|55.194758, 61.477015|1|531
|1-й Шатурский переулок, 24|55.194398, 61.478398|1|532
|1-й Шатурский переулок, 25|55.19484, 61.476683|1|533
|1-й Шатурский переулок, 26|55.19463, 61.478192|1|534
|1-й Шатурский переулок, 27|55.194912, 61.476386|1|535
|1-й Шатурский переулок, 28|55.194866, 61.478111|1|536
|1-й Шатурский переулок, 29|55.194969, 61.476171|1|537
|1-й Шатурский переулок, 3|55.19169, 61.479647|1|538
|1-й Шатурский переулок, 30|55.194881, 61.477509|1|539
|1-й Шатурский переулок, 31|55.195051, 61.475865|1|540
|1-й Шатурский переулок, 31А|55.195185, 61.47538|1|541
|1-й Шатурский переулок, 32|55.194964, 61.47715|1|542
|1-й Шатурский переулок, 33|55.195385, 61.474545|1|543
|1-й Шатурский переулок, 33А|55.195277, 61.474994|1|544
|1-й Шатурский переулок, 34|55.195025, 61.476871|1|545
|1-й Шатурский переулок, 35|55.195462, 61.474248|1|546
|1-й Шатурский переулок, 36|55.195113, 61.476611|1|547
|1-й Шатурский переулок, 37|55.195534, 61.473997|1|548
|1-й Шатурский переулок, 38|55.19518, 61.476341|1|549
|1-й Шатурский переулок, 39|55.195601, 61.473772|1|550
|1-й Шатурский переулок, 4|55.191716, 61.480105|1|551
|1-й Шатурский переулок, 40|55.195277, 61.476009|1|552
|1-й Шатурский переулок, 41|55.195668, 61.473449|1|553
|1-й Шатурский переулок, 42|55.19537, 61.475712|1|554
|1-й Шатурский переулок, 43|55.19577, 61.473134|1|555
|1-й Шатурский переулок, 44|55.195426, 61.475398|1|556
|1-й Шатурский переулок, 46|55.195508, 61.475093|1|557
|1-й Шатурский переулок, 48|55.195601, 61.474751|1|558
|1-й Шатурский переулок, 5|55.191927, 61.479485|1|559
|1-й Шатурский переулок, 50|55.195668, 61.474473|1|560
|1-й Шатурский переулок, 52|55.19575, 61.474167|1|561
|1-й Шатурский переулок, 54|55.195827, 61.473871|1|562
|1-й Шатурский переулок, 56|55.195889, 61.473709|1|563
|1-й Шатурский переулок, 58|55.195991, 61.473296|1|564
|1-й Шатурский переулок, 6|55.19206, 61.479899|1|565
|1-й Шатурский переулок, 7|55.192204, 61.479288|1|566
|1-й Шатурский переулок, 8|55.192297, 61.47971|1|567
|1-й Шатурский переулок, 9|55.192497, 61.479063|1|568
|1-й Шахтостроевский переулок, 10|55.120784, 61.330383|1|569
|1-й Шахтостроевский переулок, 11|55.121433, 61.329934|1|570
|1-й Шахтостроевский переулок, 15|55.120768, 61.331793|1|571
|1-й Шахтостроевский переулок, 16|55.121046, 61.331102|1|572
|1-й Шахтостроевский переулок, 3|55.120454, 61.329637|1|573
|1-й Шахтостроевский переулок, 6|55.12046, 61.330302|1|574
|1-й Шахтостроевский переулок, 7|55.120825, 61.329799|1|575
|1-й Шахтостроевский переулок, 8|55.120604, 61.330329|1|576
|1-й Шахтостроевский переулок, 9|55.121103, 61.329898|1|577
|1-й Штанговый переулок, 1|55.238028, 61.402374|1|578
|1-й Штанговый переулок, 10|55.238737, 61.402572|1|579
|1-й Штанговый переулок, 12|55.238588, 61.402428|1|580
|1-й Штанговый переулок, 14|55.238454, 61.402302|1|581
|1-й Штанговый переулок, 16|55.23829, 61.402149|1|582
|1-й Штанговый переулок, 18|55.238105, 61.40197|1|583
|1-й Штанговый переулок, 2|55.239733, 61.403317|1|584
|1-й Штанговый переулок, 20|55.237972, 61.401925|1|585
|1-й Штанговый переулок, 22|55.237813, 61.401889|1|586
|1-й Штанговый переулок, 24|55.237541, 61.401835|1|587
|1-й Штанговый переулок, 3|55.23788, 61.402482|1|588
|1-й Штанговый переулок, 4|55.239548, 61.403155|1|589
|1-й Штанговый переулок, 5|55.237679, 61.402275|1|590
|1-й Штанговый переулок, 6|55.239312, 61.40285|1|591
|1-й Штанговый переулок, 7|55.237515, 61.402203|1|592
|1-й Штанговый переулок, 8|55.238932, 61.402724|1|593
